epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6413.28,1.2867,1.04644,1.77216,0.74579,0.78961,0.80823,0.50631,1.35208,1.0379,1.84344,0.080299,0.000199,0.000199
2,18317.9,1.14724,0.8923,1.62767,0.82122,0.76735,0.86307,0.56654,1.23862,0.95435,1.69087,0.0604631,0.00036309,0.00036309
3,22216.7,1.1221,0.85478,1.58154,0.82098,0.75548,0.86156,0.5653,1.15839,0.97829,1.60889,0.0405912,0.00049118,0.00049118
4,26301.9,1.09601,0.79655,1.55577,0.8634,0.89457,0.94582,0.66877,1.02397,0.70294,1.48799,0.0206833,0.00058327,0.00058327
5,29901.6,1.05357,0.7584,1.52793,0.90191,0.87703,0.94855,0.67515,1.0603,0.73059,1.52326,0.00073936,0.00063936,0.00063936
6,33198.5,0.98902,0.69759,1.47198,0.93129,0.91202,0.96757,0.71373,1.00128,0.63714,1.43582,0.00055,0.00055,0.00055
7,37119.3,0.97942,0.67796,1.4578,0.89519,0.94664,0.97433,0.72615,0.94429,0.60664,1.3796,0.00046,0.00046,0.00046
8,41150.6,0.92337,0.63705,1.41017,0.93076,0.96693,0.97947,0.75361,0.8883,0.55632,1.31394,0.00037,0.00037,0.00037
9,45739.5,0.87222,0.59551,1.3632,0.90573,0.95857,0.97827,0.74466,0.89869,0.56188,1.32861,0.00028,0.00028,0.00028
10,49051.2,0.87424,0.57843,1.35996,0.96212,0.94283,0.98518,0.7764,0.84935,0.5159,1.27608,0.00019,0.00019,0.00019
